,Unnamed: 0,date,url,title,dates2,month,year,Unnamed: 6,Unnamed: 7
40,40,"agosto 20, 2024",https://lopezobrador.org.mx/2024/08/20/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1248/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2024-08-20,8,2024,,
39,39,"agosto 21, 2024",https://lopezobrador.org.mx/2024/08/21/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1249/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2024-08-21,8,2024,,
38,38,"agosto 22, 2024",https://lopezobrador.org.mx/2024/08/22/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1250/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2024-08-22,8,2024,,
37,37,"agosto 23, 2024",https://lopezobrador.org.mx/2024/08/23/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1251/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2024-08-23,8,2024,,
36,36,"agosto 26, 2024",https://lopezobrador.org.mx/2024/08/26/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1252/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2024-08-26,8,2024,,
35,35,"agosto 27, 2024",https://lopezobrador.org.mx/2024/08/27/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1253/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2024-08-27,8,2024,,
34,34,"agosto 28, 2024",https://lopezobrador.org.mx/2024/08/28/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1254/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2024-08-28,8,2024,,
33,33,"agosto 29, 2024",https://lopezobrador.org.mx/2024/08/29/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1255/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2024-08-29,8,2024,,
62,62,"septiembre 2, 2024",https://lopezobrador.org.mx/2024/09/02/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1256/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2024-09-02,9,2024,,
61,61,"septiembre 3, 2024",https://lopezobrador.org.mx/2024/09/03/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1257/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2024-09-03,9,2024,,
60,60,"septiembre 4, 2024",https://lopezobrador.org.mx/2024/09/04/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1258/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2024-09-04,9,2024,,
59,59,"septiembre 5, 2024",https://lopezobrador.org.mx/2024/09/05/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1259/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2024-09-05,9,2024,,
58,58,"septiembre 6, 2024",https://lopezobrador.org.mx/2024/09/06/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1260/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2024-09-06,9,2024,,
57,57,"septiembre 9, 2024",https://lopezobrador.org.mx/2024/09/09/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1261/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2024-09-09,9,2024,,
56,56,"septiembre 10, 2024",https://lopezobrador.org.mx/2024/09/10/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1262/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2024-09-10,9,2024,,
55,55,"septiembre 11, 2024",https://lopezobrador.org.mx/2024/09/11/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1263/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2024-09-11,9,2024,,
